cc2,cc3,region,regionWB,regionITU,aggregate,country,countrywi,countryim_2014,countryim_2015,nri01_2015,nri02_2015,nri03_2015,nri04_2015,nri05_2015,nri06_2015,nri07_2015,nri08_2015,nri09_2015,nri10_2015,nri11_2015,nri12_2015,nri13_2015,nri14_2015,nri15_2015,nri16_2015,nri17_2015,nri18_2015,nri19_2015,nri20_2015,nri21_2015,nri22_2015,nri23_2015,nri24_2015,nri25_2015,nri26_2015,nri27_2015,nri28_2015,nri29_2015,nri30_2015,nri31_2015,nri32_2015,nri33_2015,nri34_2015,nri35_2015,nri36_2015,nri37_2015,nri38_2015,nri39_2015,nri40_2015,nri41_2015,nri42_2015,nri43_2015,nri44_2015,nri45_2015,nri46_2015,nri47_2015,nri48_2015,nri49_2015,nri50_2015,nri51_2015,nri52_2015,nri53_2015,nri54_2015,nri55_2015,nri56_2015,nri57_2015,nri58_2015,nri59_2015,nri60_2015,nri61_2015,nri62_2015,nri63_2015,nri64_2015,nri65_2015,nri66_2015,nri67_2015,nri68_2015,nri01_2014,nri02_2014,nri03_2014,nri04_2014,nri05_2014,nri06_2014,nri07_2014,nri08_2014,nri09_2014,nri10_2014,nri11_2014,nri12_2014,nri13_2014,nri14_2014,nri15_2014,nri16_2014,nri17_2014,nri18_2014,nri19_2014,nri20_2014,nri21_2014,nri22_2014,nri23_2014,nri24_2014,nri25_2014,nri26_2014,nri27_2014,nri28_2014,nri29_2014,nri30_2014,nri31_2014,nri32_2014,nri33_2014,nri34_2014,nri35_2014,nri36_2014,nri37_2014,nri38_2014,nri39_2014,nri40_2014,nri41_2014,nri42_2014,nri43_2014,nri44_2014,nri45_2014,nri46_2014,nri47_2014,nri48_2014,nri49_2014,nri50_2014,nri51_2014,nri52_2014,nri53_2014,nri54_2014,nri55_2014,nri56_2014,nri57_2014,nri58_2014,nri59_2014,nri60_2014,nri61_2014,nri62_2014,nri63_2014,nri64_2014,nri65_2014,nri66_2014,nri67_2014,nri68_2014,nri01_2013,nri02_2013,nri03_2013,nri04_2013,nri05_2013,nri06_2013,nri07_2013,nri08_2013,nri09_2013,nri10_2013,nri11_2013,nri12_2013,nri13_2013,nri14_2013,nri15_2013,nri16_2013,nri17_2013,nri18_2013,nri19_2013,nri20_2013,nri21_2013,nri22_2013,nri23_2013,nri24_2013,nri25_2013,nri26_2013,nri27_2013,nri28_2013,nri29_2013,nri30_2013,nri31_2013,nri32_2013,nri33_2013,nri34_2013,nri35_2013,nri36_2013,nri37_2013,nri38_2013,nri39_2013,nri40_2013,nri41_2013,nri42_2013,nri43_2013,nri44_2013,nri45_2013,nri46_2013,nri47_2013,nri48_2013,nri49_2013,nri50_2013,nri51_2013,nri52_2013,nri53_2013,nri54_2013,nri55_2013,nri56_2013,nri57_2013,nri58_2013,nri59_2013,nri60_2013,nri61_2013,nri62_2013,nri63_2013,nri64_2013,nri65_2013,nri66_2013,nri67_2013,nri68_2013,nri01_2012,nri02_2012,nri03_2012,nri04_2012,nri05_2012,nri06_2012,nri07_2012,nri08_2012,nri09_2012,nri10_2012,nri11_2012,nri12_2012,nri13_2012,nri14_2012,nri15_2012,nri16_2012,nri17_2012,nri18_2012,nri19_2012,nri20_2012,nri21_2012,nri22_2012,nri23_2012,nri24_2012,nri25_2012,nri26_2012,nri27_2012,nri28_2012,nri29_2012,nri30_2012,nri31_2012,nri32_2012,nri33_2012,nri34_2012,nri35_2012,nri36_2012,nri37_2012,nri38_2012,nri39_2012,nri40_2012,nri41_2012,nri42_2012,nri43_2012,nri44_2012,nri45_2012,nri46_2012,nri47_2012,nri48_2012,nri49_2012,nri50_2012,nri51_2012,nri52_2012,nri53_2012,nri54_2012,nri55_2012,nri56_2012,nri57_2012,nri58_2012,nri59_2012,nri60_2012,nri61_2012,nri62_2012,nri63_2012,nri64_2012,nri65_2012,nri66_2012,nri67_2012,nri68_2012,wis1_2014,wis2_2014,wis3_2014,wis4_2014,wis5_2014,wis6_2014,wis7_2014,wis8_2014,wis9_2014,wis10_2014,wis11_2014,wis12_2014,wis13_2014,wip2_2014,wip3_2014,wip4_2014,wip5_2014,wip6_2014,wip7_2014,wip8_2014,wip9_2014,wip10_2014,odbc1_2013,odbi1_2013,odbi2_2013,odbi3_2013,odbi4_2013,odbi5_2013,odbi6_2013,aia13_2014,gdpcapppp_2012,gdpcapppp_2013,gdpcapppp_2014,mobilebb_2013,hhnet_2013,ipr_2013,bbsub_2013,speedkbps_2014,peakspeedkbps_2014,highbbrate_2014,bbrate_2014,downloadkbps_2014,uploadkbps_2014,rfactor_2014,edf_2014,edm_2014,litrate_2014,mobilebb_2014,hhnet_2014,ipr_2014,bbsub_2014,speedmbps_2015,peakspeedmbps_2015,bbrate_2015,highbbrate_2015,downloadmbps_2015,uploadmbps_2015,rfactor_2015,edf_2015,edm_2015,litrate_2015,bbcost1_2014,bbcost2_2014,bbcost3_2014,bbcost4_2014,bbcost5_2014,bbcost1n_2014,bbcost2n_2014,bbcost3n_2014,bbcost4n_2014,bbcost5n_2014,imindex_2014,imrank_2014,imadoption_2014,imspeed_2014,imbbcost_2014,imed_2014,wiscore_2014,wirank_2014,wiuniversalaccess_2014,wifreedom_2014,wirelevantcontent_2014,wiempowerment_2014,wiinfrastructure_2014,wiaccess_2014,wieducation_2014,wifreeopen_2014,wicontent_2014,wieconomic_2014,wipolitical_2014,wisocial_2014,downloadkbps_2015,uploadkbps_2015,speedkbps_2015,peakspeedkbps_2015,wieparticipation_2007,wieparticipation_2008,wieparticipation_2009,wieparticipation_2010,wieparticipation_2011,wieparticipation_2012,wieparticipation_2013,wigos_2007,wigos_2008,wigos_2009,wigos_2010,wigos_2011,wigos_2012,wigos_2013,fhcivil_2007,fhcivil_2008,fhcivil_2009,fhcivil_2010,fhcivil_2011,fhcivil_2012,fhcivil_2013,fhpolitical_2007,fhpolitical_2008,fhpolitical_2009,fhpolitical_2010,fhpolitical_2011,fhpolitical_2012,fhpolitical_2013,fhpress_2007,fhpress_2008,fhpress_2009,fhpress_2010,fhpress_2011,fhpress_2012,fhpress_2013,pressfreedom_2007,pressfreedom_2008,pressfreedom_2009,pressfreedom_2010,pressfreedom_2011,pressfreedom_2012,pressfreedom_2013,wbschoollifeexpfm_2007,wbschoollifeexpfm_2008,wbschoollifeexpfm_2009,wbschoollifeexpfm_2010,wbschoollifeexpfm_2011,wbschoollifeexpfm_2012,wbschoollifeexpfm_2013,wbtertiaryenrollfm_2007,wbtertiaryenrollfm_2008,wbtertiaryenrollfm_2009,wbtertiaryenrollfm_2010,wbtertiaryenrollfm_2011,wbtertiaryenrollfm_2012,wbtertiaryenrollfm_2013,secondenroll_2007,secondenroll_2008,secondenroll_2009,secondenroll_2010,secondenroll_2011,secondenroll_2012,secondenroll_2013,mbbmonthsubpergdpc_2007,mbbmonthsubpergdpc_2008,mbbmonthsubpergdpc_2009,mbbmonthsubpergdpc_2010,mbbmonthsubpergdpc_2011,mbbmonthsubpergdpc_2012,mbbmonthsubpergdpc_2013,ixp_2007,ixp_2008,ixp_2009,ixp_2010,ixp_2011,ixp_2012,ixp_2013,secservpermillion_2007,secservpermillion_2008,secservpermillion_2009,secservpermillion_2010,secservpermillion_2011,secservpermillion_2012,secservpermillion_2013,pop_2011,pop_2012,pop_2013,pop_2014,gdpcapus_2011,gdpcapus_2012,gdpcapus_2013,gdpcapus_2014,bbcost1_2015,bbcost2_2015,bbcost3_2015,bbcost4_2015,bbcost5_2015,bbcost1n_2015,bbcost2n_2015,bbcost3n_2015,bbcost4n_2015,bbcost5n_2015,bbcostindex_2015,bbcostindexold_2014,bbcostindex_2014
"LY","LBY",,"MEA","ARS",,"Libya","","","Libya",2.0027,1.90962,3.03897,2.43129,2.3672,1.77724,89,43,690,3.13767,1.60302,31.5,35,10,3.69238,60.87731,2.27116,1.91842,4524.49,98,21.5001,3.386266,.1142678,41.55194,0,1.87497,2.86781,104.3011,91.02328,165.045,16.5,19.1,15.9,1.04329,,5.2288,3.16625,2.49775,0,3.67086,2.52894,2.68168,2.09507,.01574,2.26802,2.13483,0,2.36479,,1.92506,1.59279,1.91361,.05882,2.96783,2.36466,3.57101,4.22757,3.91019,4.33101,4.44151,2.46448,3.08513,2.48912,1.81918,1.76465,1.83321,1.69609,2.85613,2.691,2.16415,3.20053,2.89156,2.8881,2.17338,90,43,690,3.40767,1.96683,31.6,35,10,3.72937,60.87731,2.19356,2.32007,4524.49,98,14.044,1.787274,,66.89019,0,1.91828,2.72538,104.3011,89.5361,155.77,14,17.64,13.666,1.0935,,4.97148,3.63535,2.54728,0,3.51267,2.73083,2.85461,2.4918,0,2.89083,2.48049,0,2.86825,,2.61788,1.78127,2.36675,0,3.16717,2.64053,3.69381,3.22551,3.5795,1.725823,4.3712,2.56131,2.92457,2.6318,2.12754,2.02886,2.11625,1.94147,2.74571,3.29832,2.46781,3.42981,3.23781,3.33107,2.87485,90,,,3.90607,2.31542,,,,4.08573,54.3548,2.27225,3.01711,4858.31,98,10.99154,1.401264,,67.49015,0,2.0486,2.44576,110.2763,89.20996,155.696,16.9981,7.6,9.2,1.08987,,4.74513,4.30076,2.46684,.3540457,3.613502,3.134924,2.8637,2.7818,0,3.544758,2.93067,.0786768,3.0657,,3.19158,2.20992,2.83416,0,3.18291,2.82587,3.53995,2.91475,3.55968,1,4.18455,2.64671,2.80324,2.6947,2.44219,2.32183,2.33474,2.30892,2.76655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22965.3,20204.8,15590.8,,,,,,,,,,,,,,,,,17.76,1,,,,,4.36,4.2,,55.6,44,94.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4360,4200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3e+06,6.3e+06,6.3e+06,6.3e+06,5517.78,13035.2,10454.8,6569.62,.03,.04,,,,.23,.24,,,,.31,,
"LC","LCA",,"LCN","AMS",,"Saint Lucia","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10458,10485.9,10392.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179278,180890,182305,183645,7192.92,7201.43,7327.08,7435.14,,,,,,,,,,,,,
"","LCN",1,"","",1,"Latin America & Caribbean (all income levels)","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14776.9,15209,15533.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1e+08,6.1e+08,6.2e+08,6.3e+08,10056.9,9998.71,10103.6,10056.9,,,,,,,,,,,,,
"","LDC",,"","",1,"Least developed countries: UN classification","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2052.72,2148.24,2254.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.7e+08,8.9e+08,9.1e+08,9.3e+08,822.37,850.865,876.726,931.243,,,,,,,,,,,,,
"","LIC",,"","",1,"Low income","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1447.38,1515.49,1600.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.7e+08,5.9e+08,6.1e+08,6.2e+08,546.224,581.42,609.005,638.945,,,,,,,,,,,,,
"LI","LIE",,"ECS","EUR",,"Liechtenstein","","","Liechtenstein",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.21,40.33,,,,,25.8,11.21,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25800,11210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36537,36791,37040,37286,157093,149161,,,,,,,,,,,,,,,
"LK","LKA",,"SAS","AAP",,"Sri Lanka","","Sri Lanka","Sri Lanka",4.76463,3.96765,3.63513,4.61333,3.25125,3.93975,83,40,1318,4.8509,2.70722,55.6,11,9,5.76459,16.96746,4.81204,3.83324,558.053,98,4.964115,8.983059,.0492846,12.88369,.8823529,4.64413,4.75822,99.33851,92.63448,95.4963,21.9,16.4,12.7,1.99479,7.82205,5.2788,4.88828,4.57646,.6229093,4.99394,4.81649,4.13502,4.94656,.65354,5.2237,4.50095,.1588531,4.46751,15.67478,4.88632,3.57564,5.00662,.64705,3.79517,3.58864,4.0017,4.78776,2.69946,6.022059,5.64177,3.83927,2.58258,3.90473,5.0305,3.86501,3.14231,4.58772,4.0718,4.66147,3.87347,3.93416,4.5611,3.98298,3.78731,84,40,1318,4.94369,2.45367,55.1,8,6,5.61328,14.39976,4.77295,4.30033,558.053,98,5.9948,7.674144,.0353062,8.221773,.8823529,4.56973,4.48748,99.09557,91.18136,91.633,18.285,14.99,10.28,1.6779,7.7528,5.00295,5.08096,3.84216,.5836009,5.01146,4.71971,4.17305,4.942,.3791,5.09589,4.72829,.0668855,4.53406,19.05889,4.80306,3.36816,4.92762,.0789,3.84983,3.62135,4.0783,4.88213,3.11846,6.022059,5.50588,3.53739,2.37881,3.79585,4.4375,3.47341,3.30375,3.64306,3.93569,4.66912,4.02954,4.1047,4.53591,4.3618,3.82797,84,40,1318,5.13517,2.19776,50.1,7,5,5.49589,15.45685,4.77416,4.63799,483.325,98,5.223629,6.037663,.0384525,10.97554,.8823529,4.42952,4.03815,100.2445,91.18136,87.0473,15,12.28,5.89,1.70584,2.304542,4.84196,5.21953,2.87894,.5243675,,,3.81746,5.13287,.3791,,4.91665,.0625414,4.50469,19.69417,4.82253,3.25139,4.91362,.0789,3.95452,3.70017,4.20887,4.7778,3.05304,6.022059,5.25829,3.32188,2.19322,3.56869,4.20374,3.47156,3.32788,3.61523,3.88144,4.44297,4.13206,4.30486,4.52474,4.29515,4.08669,86,40,1318,5.14759,2.81129,105.2,35,4,5.36274,17.1,4.72029,4.44002,451.4062,98,3.31576,4.410366,.0445695,10.50902,.8823529,4.32216,4.21206,87.07401,90.55795,83.2184,12,12.28,5.89,1.09452,1.85,4.59462,5.23045,3.27854,.7106292,,,4.16502,4.8739,.2603,,4.82421,.1753822,4.48474,19.69417,4.68877,3.41646,4.77609,.1429,3.79471,3.75077,3.83866,4.77836,3.11587,6.022059,5.19715,3.46795,2.24112,3.84411,4.31862,3.49369,3.3027,3.68468,3.88368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9014.48,9737.75,10527.5,4.44064,10.28,18.2854,1.42923,1474,9973,.3,1.6,3248,847,,72.6,75.5,91,7.82205,5.9,25.8,2.65,4.8,30.8,65,1.5,,,,72.7,75.5,98.1,.08,.15,.11,,,.36,.43,.42,,,3.75,48,.09,.04,.6,.78,,,,,,,,,,,,,,,,,4800,30800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1e+07,2.0e+07,2.0e+07,2.1e+07,2835.81,2921.66,3281.07,3631.05,.06,.06,.03,,.03,.29,.3,.2,,.16,.76,.6,.36
"","LMC",,"","",1,"Lower middle income","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5389.93,5698.53,6025.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8e+09,2.8e+09,2.8e+09,2.9e+09,1836.79,1881.92,1926.07,2007.68,,,,,,,,,,,,,
"","LMY",,"","",1,"Low & middle income","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7989.31,8429.26,8871.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6e+09,5.7e+09,5.8e+09,5.9e+09,3779.32,3942.1,4136.14,4264.31,,,,,,,,,,,,,
"LS","LSO",,"SSF","AFR",,"Lesotho","","","Lesotho",3.86973,3.23576,4.07883,3.67931,3.45272,3.49991,,41,615,3.4522,2.68306,13.6,29,7,4.77134,10.82567,3.86709,3.01614,99.5559,81,5.919599,.482052,.556802,59.23426,2,4.05355,3.81413,53.29364,79.36094,86.3015,5,6.4,4.3,.109667,7.4008,4.00878,3.53635,3.13204,0,3.20385,3.0732,3.95391,2.89737,.15748,3.15378,3.29902,0,2.9699,6.767039,3.17028,3.22215,3.09113,.13725,3.83162,3.72648,3.93676,3.07265,2.01641,3.320787,3.88074,2.53112,1.97585,2.95216,2.66534,2.52702,2.22727,2.82677,2.9906,3.86164,2.69068,3.48983,3.58277,3.3967,3.25578,,41,615,3.74074,2.53033,16,29,7,4.725,10.82567,3.37212,2.67031,100.509,81,6.3298,.4977797,.4633453,122.2433,2,3.63296,3.38793,51.69297,89.64732,75.3,4.5896,5.93,3.704,.070727,7.4585,4.37037,3.68804,2.82593,0,3.4714,3.06868,3.59629,2.90198,.3007,3.09003,3.0426,0,2.73668,6.000978,3.05573,2.98878,2.9037,.0263,3.66278,3.48271,3.84284,2.99208,2.36658,2.659476,3.95018,2.57489,1.91654,2.87606,2.93207,2.3055,2.0845,2.5265,2.88381,2.97405,2.3782,2.96677,3.27556,2.96295,3.0033,,41,615,3.90307,1.85008,16,24,7,4.064,3.51853,2.84625,2.57971,93.0578,75,2.815975,.4605498,.5738726,82.21058,2,3.20198,2.98193,46.39142,89.64732,56.1733,4.2248,4.98,1.29,.061034,1.730147,4.33925,3.98322,2.50704,0,3.835828,3.11627,3.28662,3.05601,.3007,3.505361,2.81543,0,2.91353,6.000978,3.05614,2.40572,2.95309,.0263,3.32284,3.0917,3.55397,2.67918,2.15909,2.350174,3.52828,2.5223,1.65309,2.79197,3.12186,2.21222,2.03126,2.39319,2.68414,2.9216,2.51497,2.87812,3.2789,2.7479,2.84147,,40,785,3.9429,1.859,16,40,7,4.20399,3.51853,2.92949,2.83974,92.10995,55,.310215,.4605498,.4201371,78.909,1.666667,3.2895,3.21116,46.39142,89.6622,45.4769,3.86,4.98,1.29,.018422,.52,4.13961,3.99221,2.0954,.2326446,,,3.67101,2.79782,.2635,,3.10474,0,2.95024,6.000978,3.22953,2.01584,2.98808,.0857,3.28465,3.02813,3.54116,3.00466,2.12863,2.984481,3.90086,2.53616,1.70571,2.96779,2.93498,2.27484,2.11277,2.43691,2.77507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2426.39,2544.1,2599.8,,,,,,,,,,,,,,,7.4008,,11,.11,,,,,7.78,5.63,,21.9,19.8,89.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7780,5630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0e+06,2.1e+06,2.1e+06,2.1e+06,1241.23,1158.79,1031.02,989.96,,,,,,,,,,,,,
"LT","LTU",,"ECS","EUR",,"Lithuania","","","Lithuania",3.49723,4.73281,3.6461,3.4509,2.80843,3.83463,53,31,300,5.7168,2.67909,42.6,3.5,3,5.62397,73.94864,4.39074,3.07962,1402.19,100,99.63402,256.7554,.2553098,18.84879,2,3.93086,5.05975,105.9366,99.81988,151.345,68.4529,65.8774,64.7309,22.0147,48.1502,6.43901,5.35625,4.29458,10.3561,6.35569,5.91336,4.24533,3.98961,.7559,4.62125,5.01294,2.783567,4.98086,42.81405,5.12657,5.94044,4.77677,.64705,4.47805,4.05327,4.90283,5.55021,4.59428,6.308712,5.74765,4.7468,5.25669,4.26828,4.71542,4.67886,4.1762,5.18152,4.86348,3.33034,4.66205,3.70943,3.3645,3.2325,3.74298,54,32,300,5.68465,2.48917,43.1,6.5,4,5.38225,76.60441,4.36802,3.04613,1401.24,98,76.193,272.9853,.1973928,19.12903,1.923077,3.95074,5.1569,106.9185,99.70355,165.06,68,64,62,21.149,18.751,6.22901,5.21303,3.96361,5.799999,6.07775,5.81337,4.12935,3.93762,.6993,4.66947,4.96205,1.485064,4.87124,42.76786,5.03655,5.82398,4.80907,.5263,4.40535,4.01654,4.79417,5.69264,4.85422,6.446785,5.77691,4.50622,4.8326,4.08511,4.60097,4.53194,4.10703,4.95685,4.78404,3.0932,4.62507,3.48414,3.33031,4.0275,3.6618,54,30,275,5.73947,2.38379,43.7,20,7,5.1003,73.98034,4.32872,3.2417,4384.85,100,57.57102,241.9607,.249325,16.5601,1.923077,3.97364,5.20799,98.70269,99.70005,151.298,65.05,61.83,61.81,22.1316,17.23366,6.04616,5.01326,3.44014,4.589036,5.785128,5.781696,3.97695,3.97085,.6993,4.647431,5.07956,.3650945,4.89139,39.64871,5.01425,5.76917,4.88209,.5263,4.31266,4.02336,4.60197,5.66843,5.23281,6.317163,5.45531,4.40537,4.85686,3.75456,4.60469,4.48536,4.01489,4.95583,4.71795,3.00638,4.64552,3.3938,3.39705,3.74327,3.48526,54,30,275,5.71405,2.18285,43.9,22,6,4.95033,77.36905,4.20277,3.30659,3966.309,100,45.4256,175.8689,.2584701,17.16752,1.923077,3.79856,5.0458,98.03731,99.69551,147.159,62.12,59.22874,60.6,20.5817,12.02,5.81689,5.01988,3.31279,6.210535,,,4.01289,3.87033,.4825,,5.21996,.8829435,4.92794,39.64871,5.13123,5.71904,4.83463,.5286,4.16977,3.95166,4.38788,5.68628,4.99604,6.395024,5.66777,4.27865,4.76177,3.93977,4.1344,4.51834,4.07256,4.96413,4.66326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24083.8,25714.7,26642.8,,,,,,,,,,,,,,,48.1502,64.7,72.13,31.46,,,,,88.03,86.63,86.25,89.1,94.3,99.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88030,86630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0e+06,3.0e+06,3.0e+06,2.9e+06,14360.4,14333.2,15689,16444.8,,,,,,,,,,,,,
